# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec  2 03:24:48 2025
#
# User preference: *
#
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
#
loc_rowid,hostname,sy_snum,sy_pnum,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_age,st_ageerr1,st_ageerr2,st_agelim
1,11 Com,2,1,4874.00,,,0,13.760000,2.850000,-2.450000,0,2.090000,0.640000,-0.630000,0,-0.2600,0.1000,-0.1000,0,,,,
2,11 UMi,1,1,4213.00,46.00,-46.00,0,29.790000,2.840000,-2.840000,0,2.780000,0.690000,-0.690000,0,-0.0200,,,0,1.5600,0.5400,-0.5400,0
3,14 And,1,1,4888.00,,,0,11.550000,1.120000,-0.510000,0,1.780000,0.430000,-0.290000,0,-0.2100,0.1000,-0.1000,0,4.5000,1.9000,-1.9000,0
4,14 Her,1,2,5338.00,25.00,-25.00,0,0.930000,0.010000,-0.010000,0,0.910000,0.113000,-0.113000,0,0.4052,0.0466,-0.0466,0,3.9000,,,0
5,16 Cyg B,3,1,5750.00,8.00,-8.00,0,1.130000,0.010000,-0.010000,0,1.080000,0.040000,-0.040000,0,0.0600,,,0,7.4000,0.1000,-0.1000,0
6,17 Sco,1,1,4157.00,11.00,-10.00,0,25.920000,0.780000,-0.740000,0,1.220000,0.130000,-0.140000,0,-0.0100,0.1000,-0.1000,0,5.1300,2.1200,-1.3300,0
7,18 Del,2,1,4980.00,,,0,8.800000,0.610000,-0.400000,0,2.100000,0.130000,-0.090000,0,-0.0600,0.1000,-0.1000,0,1.1000,0.1000,-0.1000,0
8,1RXS J160929.1-210524,1,1,4060.00,300.00,-200.00,0,1.313160,0.176833,-0.102363,0,0.850000,0.200000,-0.100000,0,,,,,0.0050,,,0
9,24 Boo,1,1,4816.00,,,0,12.190000,1.450000,-1.280000,0,1.050000,0.270000,-0.180000,0,-0.7800,0.1000,-0.1000,0,6.9200,4.8300,-2.7500,0
10,24 Sex,1,2,5098.00,44.00,-44.00,0,4.900000,0.080000,-0.080000,0,1.540000,0.080000,-0.080000,0,-0.0300,0.0400,-0.0400,0,2.7000,0.4000,-0.4000,0
